#Time	T1	T2	T3
10 48 46	24.9	29.6	30.1
10 48 47	24.9	29.6	30.1
10 48 48	24.9	29.6	30.1
10 50 57	25	29.4	29.9
10 50 58	25	29.4	29.9
10 53 56	24.3	29.1	75.1
10 53 57	24.3	29.1	75.1
10 53 58	24.3	29.1	75.1
10 53 59	24.3	29.1	75.1
10 54 00	24.3	29.1	75.1
10 54 01	24.2	29.1	75.1
10 54 02	24.2	29.1	75.1
10 54 03	24.2	29.1	75
10 54 04	24.2	29.1	75
11 02 21	26	27.1	30.5
11 02 22	26	27.1	30.5
11 02 23	26	27.1	30.5
11 02 24	26	27.1	30.5
11 02 25	26	27.1	30.5
11 02 26	26	27.1	30.4
11 02 27	26	27	30.4
11 02 28	26	27	30.3
11 02 29	26	27	30.3
11 02 30	26	27	30.3
11 02 31	26	27	30.2
11 02 32	26	27	30.2
11 02 33	26.1	27	30.2
11 02 34	26.1	27	30.1
11 02 35	26.1	26.9	30.1
11 02 36	26.1	26.9	30.1
11 02 37	26.1	26.9	30.1
11 02 38	26.1	26.9	30.1
11 02 39	26.2	26.9	30
11 02 40	26.2	26.9	30
11 02 41	26.2	26.9	30
11 02 42	26.2	26.9	30
11 02 43	26.2	26.9	30
11 02 44	26.2	26.9	29.9
11 02 45	26.2	26.9	29.9
11 02 46	26.2	26.9	29.9
11 02 47	26.2	26.9	29.9
11 02 48	26.2	26.9	29.9
11 02 49	26.2	26.9	29.9
11 02 50	26.2	26.9	29.9
11 02 51	26.2	26.9	29.9
11 02 52	26.2	26.9	29.8
11 02 53	26.2	26.9	29.8
11 02 54	26.2	26.9	29.8
11 02 55	26.2	26.8	29.8
11 02 56	26.2	26.8	29.8
11 02 57	26.2	26.8	29.8
11 02 58	26.2	26.8	29.8
11 02 59	26.2	26.8	29.8
11 03 00	26.3	26.8	29.8
11 03 01	26.3	26.8	29.8
11 03 02	26.3	26.8	29.8
11 03 03	26.3	26.8	29.8
11 03 04	26.3	26.8	29.8
11 03 05	26.3	26.8	29.8
11 03 06	26.3	26.8	29.8
11 03 07	26.3	26.8	29.8
11 03 08	26.3	26.8	29.8
11 03 09	26.3	26.8	29.8
11 03 10	26.3	26.8	29.8
11 03 11	26.3	26.8	29.7
11 03 12	26.3	26.8	29.7
11 03 13	26.3	26.8	29.7
11 03 14	26.4	26.8	29.7
11 03 15	26.4	26.8	29.7
11 03 16	26.4	26.8	29.7
11 03 17	26.4	26.8	29.7
11 03 18	26.4	26.8	29.7
11 03 19	26.4	26.8	29.7
11 03 20	26.5	26.8	29.7
11 03 21	26.5	26.8	29.7
11 03 22	26.5	26.8	29.7
11 03 23	26.5	26.8	29.7
11 03 24	26.5	26.8	29.7
11 03 25	26.5	26.8	29.7
11 03 26	26.5	26.8	29.7
11 03 27	26.5	26.8	29.7
11 03 28	26.5	26.8	29.7
11 03 29	26.5	26.8	29.7
11 03 30	26.5	26.8	29.7
11 03 31	26.5	26.8	29.7
11 03 32	26.5	26.8	29.7
11 03 33	26.5	26.7	29.7
11 03 34	26.5	26.7	29.7
11 03 35	26.5	26.7	29.7
11 03 36	26.5	26.7	29.7
11 03 37	26.5	26.8	29.7
11 03 38	26.5	28.4	29.7
11 03 39	26.5	30.4	29.6
11 03 40	26.5	30.4	29.6
11 03 41	26.5	49.5	29.6
11 03 42	26.5	57.1	29.6
11 03 43	26.5	61.7	29.6
11 03 44	26.5	78.5	29.6
11 03 45	26.5	74.1	29.6
11 03 46	26.5	72.6	29.6
11 03 47	26.5	126.3	29.6
11 03 48	26.5	126.3	29.6
11 03 49	26.6	210.9	29.6
11 03 50	26.6	234.8	29.6
11 03 51	26.6	217	29.6
11 03 52	26.6	204.3	29.6
11 03 53	26.6	193.6	29.6
11 03 54	26.6	193.6	29.6
11 03 55	26.7	196.8	29.6
11 03 56	26.7	196.8	29.6
11 03 57	26.7	186.8	29.5
11 03 58	26.7	177.6	29.5
11 03 59	26.7	167.6	29.5
11 04 00	26.7	159.5	29.5
11 04 01	27.5	153	29.5
11 04 02	28.2	153	29.5
11 04 03	45.4	149	29.5
11 04 04	45.4	154.3	29.5
11 04 05	73.8	149.2	29.5
11 04 06	70.3	155.1	29.5
11 04 07	53.5	164	29.5
11 04 08	93.7	170.9	29.5
11 04 09	107.6	175	29.5
11 04 10	113.7	175	29.5
11 04 11	138.3	178.9	29.5
11 04 12	138.3	177.5	29.5
11 04 13	236.6	174	29.5
11 04 14	287.8	172	29.5
11 04 15	78.1	172	29.5
11 04 16	62.1	167.2	29.5
11 04 17	119.7	162.7	29.5
11 04 18	119.7	162.7	29.5
11 04 19	439.4	178	29.5
11 04 20	470.5	185.5	29.5
11 04 21	278.6	184.5	29.5
11 04 22	514	185.4	29.5
11 04 23	536.5	186.7	29.5
11 04 24	554.5	186.7	29.5
11 04 25	569.8	216.9	29.5
